Andorra ;7,141;4,437
United Arab Emirates ;10,974;6,819
Afghanistan ;9,984;6,204
Antigua and Barbuda ;5,720;3,554
Anguilla ;5,541;3,443
Albania ;8,088;5,026
Armenia ;8,983;5,582
Angola ;13,116;8,150
Antarctica ;15,538;9,655
Argentina ;11,259;6,996
American Samoa ;9,825;6,105
Austria ;7,253;4,507
Australia ;14,152;8,794
Aruba ;5,763;3,581
Aland Islands ;6,248;3,882
Azerbaijan ;9,031;5,612
Bosnia and Herzegovina ;7,721;4,798
Barbados ;6,214;3,861
Bangladesh ;11,001;6,836
Belgium ;6,563;4,078
Burkina Faso ;9,772;6,072
Bulgaria ;8,130;5,052
Bahrain ;10,618;6,598
Burundi ;12,987;8,070
Benin ;10,273;6,383
Saint Barthelemy ;5,585;3,470
Bermuda ;4,142;2,574
Brunei ;12,307;7,647
Bolivia ;8,985;5,583
Bonaire, Saint Eustatius and Saba ;5,877;3,652
Brazil ;9,305;5,782
Bahamas ;4,171;2,592
Bhutan ;10,579;6,573
Bouvet Island ;15,758;9,792
Botswana ;14,548;9,040
Belarus ;7,113;4,420
Cocos Islands;14,735;9,156
Democratic Republic of the Congo;12,640;7,854
Central African Republic;11,550;7,177
Republic of the Congo;11,949;7,425
Switzerland;7,056;4,384
Ivory Coast;9,973;6,197
Cook Islands;9,952;6,184
Chile;10,726;6,665
Cameroon;11,024;6,850
China;9,386;5,832
Colombia;6,396;3,974
Costa Rica;5,519;3,429
Cuba;4,508;2,801
Cape Verde;8,169;5,076
Curacao;5,843;3,631
Christmas Island;14,229;8,841
Cyprus;9,179;5,704
Czech Republic;7,071;4,394
Germany;6,751;4,195
Denmark;6,255;3,887
Dominica;5,902;3,667
Dominican Republic;5,132;3,189
Algeria;8,475;5,266
Ecuador;6,930;4,306
Estonia;6,548;4,069
Egypt;9,944;6,179
Western Sahara;8,000;4,971
Eritrea;11,481;7,134
Spain;7,066;4,391
Ethiopia;12,141;7,544
Finland;6,246;3,881
Fiji;10,777;6,697
Falkland Islands;12,745;7,919
Micronesia;9,707;6,032
Faroe Islands;5,162;3,208
France;6,841;4,251
Gabon;11,768;7,312
United Kingdoms;5,807;3,608
Grenada;6,207;3,857
French Guiana;7,456;4,633
Guernsey;6,336;3,937
Ghana;10,206;6,342
Gibraltar;7,359;4,573
Greenland;3,340;2,075
Gambia;8,834;5,489
Guinea;9,498;5,902
Equatorial Guinea;11,458;7,120
Greece;8,358;5,193
South Georgia and the South Sandwich Islands;13,819;8,587
Guam;9,894;6,148
Guinea-Bissau;8,992;5,587
Guyana;7,062;4,388
Hong Kong;10,490;6,518
Heard Island and McDonald Islands;19,676;12,226
Honduras;4,861;3,020
Croatia;7,508;4,665
Haiti;5,009;3,112
Hungary;7,476;4,645
Indonesia;12,886;8,007
Ireland;5,748;3,572
Israel;9,650;5,996
Isle of Man;5,851;3,636
India;11,469;7,127
British Indian Ocean Territory;14,588;9,065
Iraq;9,682;6,016
Iran;9,988;6,206
Iceland;4,475;2,781
Italy;7,705;4,788
Jersey;6,379;3,964
Jamaica;4,876;3,030
Jordan;9,744;6,055
Japan;8,083;5,023
Kenya;13,000;8,078
Kyrgyzstan;9,191;5,711
Cambodia;11,842;7,358
Kiribati;7,541;4,686
Comoros;14,422;8,961
Saint Kitts and Nevis;5,639;3,504
North Korea;8,153;5,066
South Korea;8,579;5,331
Kosovo;7,974;4,955
Kuwait;10,196;6,336
Cayman Islands;4,596;2,856
Kazakhstan;8,417;5,230
Laos;11,142;6,923
Lebanon;9,390;5,835
Liechtenstein;7,081;4,400
Sri Lanka;12,868;7,996
Liberia;9,840;6,114
Lesotho;15,414;9,578
Lithuania;6,847;4,255
Latvia;6,702;4,164
Libya;9,420;5,853
Morocco;7,653;4,755
Monaco;7,304;4,538
Moldova;7,757;4,820
Montenegro;7,905;4,912
Saint Martin;5,555;3,452
Madagascar;15,298;9,506
Marshall Islands;8,836;5,490
Macedonia;8,104;5,036
Mali;9,132;5,674
Myanmar;11,086;6,889
Mongolia;8,223;5,110
Macao;10,532;6,544
Northern Mariana Islands;9,688;6,020
Mauritania;8,407;5,224
Montserrat;5,730;3,560
Malta;8,353;5,190
Mauritius;15,818;9,829
Maldives;13,554;8,422
Malawi;14,186;8,815
Malaysia;12,827;7,970
Mozambique;14,781;9,184
Namibia;14,244;8,851
New Caledonia;11,805;7,335
Norfolk Island;12,398;7,704
Nigeria;10,657;6,622
Nicaragua;5,142;3,195
Netherlands;6,454;4,010
Norway;5,850;3,635
Nepal;10,564;6,564
Nauru;9,853;6,122
Niue;10,238;6,362
New Zealand;13,064;8,118
Oman;11,221;6,972
Peru;7,816;4,857
French Polynesia;9,140;5,679
Papua New Guinea;11,803;7,334
Philippines;11,145;6,925
Pakistan;10,387;6,454
Poland;7,005;4,353
Saint Pierre and Miquelon;3,525;2,190
Pitcairn;9,190;5,710
Puerto Rico;5,359;3,330
Palestinian Territory;9,571;5,947
Portugal;6,918;4,299
Palau;11,030;6,854
Paraguay;9,928;6,169
Qatar;10,709;6,654
Romania;7,792;4,842
Serbia;7,839;4,871
Russia;6,644;4,128
Rwanda;12,841;7,979
Saudi Arabia;10,718;6,660
Solomon Islands;11,113;6,905
Seychelles;14,072;8,744
Sudan;11,353;7,054
South Sudan;12,012;7,464
Sweden;6,214;3,861
Singapore;13,068;8,120
Slovenia;7,400;4,598
Svalbard and Jan Mayen;4,761;2,958
Slovakia;7,338;4,560
Sierra Leone;9,508;5,908
Senegal;8,790;5,462
Somalia;12,755;7,926
Suriname;7,304;4,538
Sao Tome and Principe;11,386;7,075
El Salvador;4,939;3,069
Sint Maarten;5,559;3,454
Syria;9,386;5,832
Swaziland;15,317;9,518
Turks and Caicos Islands;4,762;2,959
Chad;10,565;6,565
French Southern Territories;19,200;11,930
Togo;10,251;6,370
Thailand;11,612;7,215
Tajikistan;9,450;5,872
Tokelau;9,399;5,840
East Timor;13,100;8,140
Turkmenistan;9,357;5,814
Tunisia;8,325;5,173
Tonga;10,726;6,665
Turkey;8,838;5,492
Trinidad and Tobago;6,370;3,958
Tuvalu;9,783;6,079
Tanzania;13,521;8,402
Ukraine;7,745;4,813
Uganda;12,617;7,840
United States Minor Outlying Islands;8,055;5,005
United States;2,262;1,406
Uruguay;10,954;6,807
Uzbekistan;9,139;5,679
Vatican;7,697;4,783
Saint Vincent and the Grenadines;6,121;3,803
Venezuela;6,534;4,060
British Virgin Islands;5,440;3,380
U.S. Virgin Islands;5,435;3,377
Vietnam;11,573;7,191
Vanuatu;11,220;6,972
Wallis and Futuna;10,237;6,361
Samoa;9,850;6,121
Yemen;11,706;7,274
